Zone,Apartment_Type,SPL,RT60 (material ac),RT60(seconds),Element,Material,Absortion_Coefficient,Height,Surface_Area(m),Facade_Dampening(Score),Comfort_Index
HD-Urban-V1,3Bed,0.265,0.135,1.71177,Door,Single Pane Glass Door + Painted Brick,0.015,6,9,8.741662,0.5
MD-Urban-V2,3Bed,0.298,0.27,0.618174,Wall,Unpainted Brick,0.03,12,9,8.804319,0.99
HD-Urban-V1,3Bed,0.331,0.36,0.5625,Wall,Plaster with Wallpaper Backing,0.04,12,9,8.859375,0.988
HD-Urban-V1,3Bed,0.308,1.35,0.588546,Wall,Wood Paneling,0.15,12,9,8.585991,0.823
Roadside-V2,3Bed,0.354,0.09,0.871608,Floor,Terrazzo,0.01,6,9,8.239964,0.424
HD-Urban-V0,3Bed,0.35,2.7,1.081215,Floor,Thin Carpet on Wood,0.3,6,9,8.405184,0.408
HD-Urban-V0,1Bed,0.361,0.9,0.739569,Floor,Wood Flooring on Joists,0.1,3,9,8.458615,0.492
MD-Urban-V2,1Bed,0.284,0.54,1.389477,Ceiling,"Mineral Wool Tiles, Glued/Screwed to Soffit",0.06,3,9,8.097395,0.48
Roadside-V1,1Bed,0.443,1.35,0.849159,Ceiling,"75mm Woodwool Fixed Directly to Concrete, Pre-Screeded Surface Facing Backing",0.15,3,9,8.000516,0.489
HD-Urban-V1,1Bed,0.297,4.5,1.227973,Ceiling,0.8mm Unperforated Metal Panels Backed with 25mm Thick Resin Bonded Fibreglass,0.5,3,9,7.956256,0.496
GreenEdge-V3,1Bed,0.197,3.312,0.715504,Window,Single Pane Glass + Concrete Block (Painted),0.368,3,9,8.045809,0.307
Roadside-V2,1Bed,0.34,0.477,0.721235,Window,Double Pane Glass + Painted Brick,0.053,3,9,7.958336,0.993
Roadside-V2,1Bed,0.34,0.306,0.762224,Window,Large Pane Glass + Unpainted Brick,0.034,3,9,7.917583,0.963
HD-Urban-V0,1Bed,0.346,2.637,0.900085,Window,Insulated Glazing Unit + Concrete Block (Painted),0.293,3,9,8.281778,0.998
HD-Urban-V1,1Bed,0.279,0.63,1.193862,Door,Fire-Rated Door with Mineral Core + Plaster on Masonry,0.07,3,0,8.326507,0.998
Roadside-V1,3Bed,0.445,0.09,0.905625,Wall,Painted Brick,0.01,12,9,8.453705,0.988
HD-Urban-V0,3Bed,0.368,0.45,0.820266,Wall,Gypsum Board,0.05,6,9,7.884507,0.414
HD-Urban-V0,3Bed,0.374,1.35,0.874472,Wall,Wood Paneling,0.15,6,9,7.920171,0.42
Ind-Zone-V0,1Bed,0.504,0.63,1.406006,Floor,Wood Parquet,0.07,3,9,7.840433,0.975
Roadside-V2,1Bed,0.363,2.25,1.506835,Floor,Thin Carpet on Concrete,0.25,3,9,7.985832,0.816
HD-Urban-V0,1Bed,0.358,1.35,0.931107,Floor,Cork Floor Tiles,0.15,6,9,7.949926,0.993
HD-Urban-V0,1Bed,0.38,3.78,1.023311,Ceiling,"Mineral Wool Tiles, 180mm Airspace",0.42,6,9,7.883748,0.993
Ind-Zone-V0,1Bed,0.506,1.8,0.954608,Ceiling,"Plaster Decorative Panels, Ceilings",0.2,6,9,8.01131,0.899
HD-Urban-V1,1Bed,0.298,2.7,1.517719,Ceiling,Perforated Underside of Structural Steel Decking,0.3,6,9,7.929892,0.992
HD-Urban-V1,1Bed,0.309,0.864,0.870662,Window,Laminated Glass + Unpainted Brick,0.096,6,9,7.891429,0.984
HD-Urban-V0,1Bed,0.323,4.59,0.604371,Window,Single Pane Glass + Fiberglass Board,0.51,6,9,8.570974,0.868
GreenEdge-V3,1Bed,0.181,3.681,1.215346,Window,Insulated Glazing Unit + Fiberglass Board,0.409,6,9,8.854932,0.975
Roadside-V1,1Bed,0.392,0.396,2.633813,Window,Wired Glass + Plaster with Wallpaper Backing,0.044,6,9,8.960112,0.895
GreenEdge-V3,1Bed,0.15,5.238,1.4081,Door,Laminated Glass Door + Fiberglass Board,0.582,6,9,8.115855,0.975
HD-Urban-V1,3Bed,0.311,0.45,0.902523,Wall,Gypsum Board,0.05,12,9,7.884507,0.986
HD-Urban-V1,3Bed,0.337,0.45,0.715909,Wall,Acoustic Plaster,0.5,12,9,7.920171,0.996
Roadside-V2,3Bed,0.366,0.27,0.810856,Wall,Unpainted Brick,0.03,3,9,7.057441,0.985
HD-Urban-V0,2Bed,0.377,2.7,1.380878,Floor,Thin Carpet on Wood,0.3,3,0,7.968803,0.806
MD-Urban-V2,2Bed,0.313,4.5,0.647735,Floor,Medium Pile Carpet,0.5,3,9,4.267677,0.99
Roadside-V1,2Bed,0.428,1.35,1.324776,Floor,Cork Floor Tiles,0.15,3,9,7.263721,0.859
HD-Urban-V1,2Bed,0.285,1.35,0.734442,Ceiling,"75mm Woodwool Fixed Directly to Concrete, Pre-Screeded Surface Facing Backing",0.15,3,9,6.536395,0.984
GreenEdge-V3,2Bed,0.205,1.71,0.82055,Ceiling,"Metal Deck (Perforated Channels, 25mm Batts)",0.19,3,9,6.49687,0.985
Roadside-V2,2Bed,0.323,4.05,0.950469,Ceiling,"12% Perforated Plaster Tiles with Absorbent Felt, 200mm Ceiling Void",0.45,3,9,6.807116,0.984
Roadside-V2,2Bed,0.369,2.637,1.147786,Window,Insulated Glazing Unit + Concrete Block (Painted),0.293,3,9,6.403326,0.738
HD-Urban-V0,2Bed,0.371,0.684,0.808984,Window,Double Pane Glass + Plaster with Wallpaper Backing,0.076,3,9,7.161286,0.805
HD-Urban-V1,2Bed,0.32,0.252,1.123518,Window,Glass Block + Plaster with Wallpaper Backing,0.028,3,9,8.318308,0.975
HD-Urban-V1,2Bed,0.285,0.198,1.497633,Window,Glazed Ceramic Tile + Unpainted Brick,0.022,3,9,3.75099,0.975
GreenEdge-V3,2Bed,0.145,0.288,1.070296,Door,Plywood Door + Plaster on Masonry,0.032,3,9,7.394862,0.985
HD-Urban-V0,3Bed,0.407,0.09,0.962151,Wall,Painted Brick,0.01,3,9,9.230113,0.805
HD-Urban-V1,3Bed,0.311,0.45,0.566791,Wall,Gypsum Board,0.05,9,9,10.516228,0.484
HD-Urban-V0,3Bed,0.397,0.27,0.506113,Wall,Unpainted Brick,0.03,9,9,12.174263,0.492
HD-Urban-V0,2Bed,0.318,0.09,1.183773,Floor,Terrazzo,0.01,6,9,8.698021,0.974
HD-Urban-V0,2Bed,0.367,1.35,1.192629,Floor,Cork Floor Tiles,0.15,6,9,6.586281,0.977
Ind-Zone-V0,2Bed,0.536,0.09,1.224174,Floor,Marble,0.01,6,9,5.850787,0.984
HD-Urban-V1,2Bed,0.276,1.26,1.344641,Ceiling,"Plaster (Gypsum or Lime, Rough Finish or Timber Lath)",0.14,6,9,6.28581,0.996
HD-Urban-V1,2Bed,0.34,1.8,0.993926,Ceiling,50mm Mineral Wool Behind 25% Open Area Perforated Steel,0.2,6,0,6.848111,0.971
HD-Urban-V0,2Bed,0.295,4.59,0.87457,Ceiling,Underlay in Perforated Metal Panels (25mm Batts),0.51,6,9,7.125242,0.992
GreenEdge-V3,2Bed,0.224,0.405,0.811042,Window,Single Pane Glass + Painted Brick,0.045,6,9,7.487814,0.988
Roadside-V1,2Bed,0.387,2.646,1.078341,Window,Single Pane Glass + Concrete Block (Coarse),0.294,6,9,6.158215,0.975
GreenEdge-V3,2Bed,0.143,0.846,0.845701,Window,Double Pane Glass + Plaster with Wallpaper Backing,0.094,6,9,7.201933,0.975
HD-Urban-V0,3Bed,0.305,0.342,1.279483,Window,Wired Glass + Unpainted Brick,0.038,3,9,8.598352,0.975
MD-Urban-V2,3Bed,0.27,0.36,1.220621,Door,Hollow-Core Wood Door + Plaster on Masonry,0.04,3,9,7.865561,0.963
Ind-Zone-V0,3Bed,0.54,5.85,0.570472,Wall,Fiberglass Board,0.65,9,9,13.193618,0.24
HD-Urban-V0,3Bed,0.366,0.45,0.570472,Wall,Gypsum Board,0.05,3,9,3.782629,0.485
HD-Urban-V0,3Bed,0.374,0.45,0.570472,Wall,Gypsum Board,0.05,3,9,10.516228,0.491
Roadside-V2,3Bed,0.343,0.63,0.924772,Floor,Wood Parquet,0.07,3,9,9.116386,0.481
Roadside-V2,3Bed,0.328,0.09,1.093824,Floor,Terrazzo,0.01,3,9,6.782389,0.491
HD-Urban-V0,3Bed,0.407,2.7,1.183719,Floor,Thin Carpet on Wood,0.3,6,9,6.790684,0.493
HD-Urban-V1,3Bed,0.259,1.08,1.124005,Ceiling,"Metal Ceiling, 32.5% Perforated, Backed by 30mm Rockwool",0.12,6,9,6.773782,0.479
HD-Urban-V1,3Bed,0.265,1.35,1.71177,Ceiling,"75mm Woodwool Fixed Directly to Concrete, Pre-Screeded Surface Facing Backing",0.15,6,9,6.778547,0.48
GreenEdge-V3,3Bed,0.154,0.54,1.338954,Ceiling,"Mineral Wool Tiles, Glued/Screwed to Soffit",0.06,6,9,6.787151,0.473
Roadside-V2,3Bed,0.343,0.738,1.381141,Window,Double Pane Glass + Plaster on Masonry,0.082,6,9,6.772293,0.339
Ind-Zone-V0,3Bed,0.537,0.252,0.821036,Window,Wired Glass + Plaster on Masonry,0.028,6,9,6.778252,0.308
Roadside-V2,3Bed,0.354,0.378,0.871608,Window,Small Pane Glass + Gypsum Board,0.042,6,0,6.778159,0.496
HD-Urban-V0,3Bed,0.35,2.925,1.081215,Window,Wired Glass + Acoustic Plaster,0.325,6,9,6.760452,0.487
HD-Urban-V0,1Bed,0.361,0.657,0.739569,Door,Laminated Glass Door + Gypsum Board,0.073,3,9,6.782358,0.399
HD-Urban-V1,3Bed,0.34,4.14,0.487223,Wall,Concrete Block (Painted),0.46,3,9,6.395835,0.499
GreenEdge-V3,3Bed,0.217,0.45,0.867405,Wall,Acoustic Plaster,0.5,3,9,6.169308,0.309
Roadside-V2,3Bed,0.434,0.45,0.730895,Wall,Gypsum Board,0.05,3,9,7.448414,0.477
GreenEdge-V3,1Bed,0.197,0.9,0.715504,Floor,Wood Flooring on Joists,0.1,3,9,6.794344,0.398
Roadside-V2,1Bed,0.34,0.63,0.721235,Floor,Wood Parquet,0.07,3,9,6.762073,0.423
Roadside-V2,1Bed,0.34,2.7,0.762224,Floor,Thin Carpet on Wood,0.3,3,9,8.110987,0.488
HD-Urban-V0,1Bed,0.346,4.05,0.900085,Ceiling,"12% Perforated Plaster Tiles with Absorbent Felt, 200mm Ceiling Void",0.45,3,9,8.387581,0.492
HD-Urban-V1,1Bed,0.279,3.6,1.193862,Ceiling,"Plywood, 12mm, with 30mm Thick Fibreglass Backing Between 30mm Battens",0.4,3,9,8.489393,0.503
HD-Urban-V1,1Bed,0.294,3.6,0.914448,Ceiling,"Plywood, 5mm, on Battens with 50mm Airspace Filled with Glass Wool",0.4,3,9,7.989321,0.352
GreenEdge-V3,1Bed,0.11,2.151,0.601679,Window,Wired Glass + Concrete Block (Coarse),0.239,3,9,8.218894,0.875
Roadside-V2,1Bed,0.342,3.582,1.062403,Window,Single Pane Glass + Acoustic Plaster,0.398,3,9,8.299662,0.851
Ind-Zone-V0,1Bed,0.504,3.609,1.406006,Window,Glass Block + Fiberglass Board,0.401,3,9,7.886289,0.989
Roadside-V2,1Bed,0.363,2.331,1.506835,Window,Single Pane Glass + Concrete Block (Coarse),0.259,3,9,8.079778,0.97
HD-Urban-V0,1Bed,0.358,0.36,0.931107,Door,Single Pane Glass Door + Plaster with Wallpaper Backing,0.04,6,9,8.14499,0.758
GreenEdge-V3,3Bed,0.242,0.45,1.073731,Wall,Gypsum Board,0.05,3,9,7.448414,0.476
Roadside-V2,3Bed,0.352,0.09,0.661644,Wall,Painted Brick,0.01,3,9,6.395835,0.489
HD-Urban-V0,3Bed,0.354,0.27,0.83733,Wall,Unpainted Brick,0.03,6,9,6.395835,0.322
HD-Urban-V1,1Bed,0.309,4.5,0.870662,Floor,Medium Pile Carpet,0.5,6,9,7.655395,0.975
HD-Urban-V0,1Bed,0.323,0.27,0.604371,Floor,Vinyl Tile,0.03,6,9,7.558516,0.985
GreenEdge-V3,1Bed,0.181,1.35,1.215346,Floor,Cork Floor Tiles,0.15,6,9,7.514256,0.805
Roadside-V1,1Bed,0.392,1.8,2.633813,Ceiling,Plywood 12mm Thick Perforated 5mm Diameter Holes with 60mm Deep Air Space Behind,0.2,6,9,7.603809,0.85
GreenEdge-V3,1Bed,0.15,1.71,1.4081,Ceiling,"Metal Deck (Perforated Channels, 25mm Batts)",0.19,6,9,7.516336,0.994
HD-Urban-V1,1Bed,0.285,2.7,0.813017,Ceiling,"50mm Woodwool Slabs on 25mm Cavity, Pre-Screeded Surface Facing Cavity",0.3,6,9,7.475583,0.8
HD-Urban-V0,1Bed,0.355,3.501,0.708004,Window,Double Pane Glass + Concrete Block (Painted),0.389,6,9,7.839778,0.908
Ind-Zone-V0,1Bed,0.479,3.159,0.737838,Window,Double Pane Glass + Concrete Block (Painted),0.351,6,9,7.884507,0.882
HD-Urban-V0,2Bed,0.377,3.222,1.380878,Window,Frosted Glass + Concrete Block (Painted),0.358,3,9,8.000847,0.976
MD-Urban-V2,2Bed,0.313,0.405,0.647735,Window,Single Pane Glass + Painted Brick,0.045,3,9,7.50293,0.993
Roadside-V1,2Bed,0.428,0.792,1.324776,Window,Double Pane Glass + Unpainted Brick,0.088,3,9,7.432617,0.992
HD-Urban-V1,2Bed,0.285,3.888,0.734442,Door,Sliding Wood Door + Acoustic Plaster,0.432,3,9,7.398433,0.995
HD-Urban-V0,3Bed,0.4,0.27,0.63096,Wall,Unpainted Brick,0.03,6,9,7.448414,0.479
HD-Urban-V0,3Bed,0.395,0.27,0.742886,Wall,Unpainted Brick,0.03,9,9,3.125381,0.975
Roadside-V2,2Bed,0.369,4.5,1.147786,Floor,Thick Pile Carpet,0.5,3,9,7.441748,0.992
HD-Urban-V0,2Bed,0.371,0.09,0.808984,Floor,Terrazzo,0.01,3,9,7.56931,0.868
HD-Urban-V1,2Bed,0.32,2.25,1.123518,Floor,Thin Carpet on Concrete,0.25,3,9,7.487892,0.993
HD-Urban-V1,2Bed,0.285,2.43,1.497633,Ceiling,"Hardboard, 25% Perforated Over 50mm Mineral Wool",0.27,3,9,7.449429,0.985
GreenEdge-V3,2Bed,0.145,2.7,1.070296,Ceiling,Perforated Underside of Structural Steel Decking,0.3,3,9,8.128974,0.895
Roadside-V2,2Bed,0.379,3.6,0.868219,Ceiling,Plywood 12mm Thick Perforated 5mm Diameter Holes with 60mm Thick Fibreglass Between Mounting Battens,0.4,3,9,8.412932,0.975
Ind-Zone-V0,2Bed,0.576,0.378,2.403237,Window,Small Pane Glass + Gypsum Board,0.042,3,9,8.518112,0.963
Roadside-V2,2Bed,0.339,1.098,0.921768,Window,Large Pane Glass + Wood Paneling,0.122,6,9,7.673855,0.963
HD-Urban-V0,2Bed,0.318,0.45,1.183773,Window,Wired Glass + Gypsum Board,0.05,6,9,7.619338,0.819
HD-Urban-V0,2Bed,0.367,0.378,1.192629,Window,Frosted Glass + Unpainted Brick,0.042,6,9,7.872923,0.94
Ind-Zone-V0,2Bed,0.536,0.675,1.224174,Door,Acoustic Door + Painted Brick,0.075,6,9,7.920171,0.908
Ind-Zone-V0,3Bed,0.538,3.24,0.803438,Wall,Concrete Block (Coarse),0.36,9,9,7.754969,0.908
Roadside-V1,3Bed,0.44,0.45,0.703911,Wall,Gypsum Board,0.05,3,9,6.169308,0.805
HD-Urban-V1,3Bed,0.336,0.45,0.741177,Wall,Gypsum Board,0.05,3,9,7.448414,0.963
GreenEdge-V3,2Bed,0.224,0.27,0.811042,Floor,Vinyl Tile,0.03,6,9,6.746395,0.989
Roadside-V1,2Bed,0.387,0.09,1.078341,Floor,Marble,0.01,6,9,6.58587,0.898
GreenEdge-V3,2Bed,0.143,4.5,0.845701,Floor,Medium Pile Carpet,0.5,6,9,6.557116,0.977
HD-Urban-V0,3Bed,0.305,0.72,1.279483,Ceiling,Sprayed Cellulose Fiber (25mm on Solid Backing),0.08,3,9,6.479326,0.97
MD-Urban-V2,3Bed,0.27,0.45,1.220621,Ceiling,Sprayed Cellulose Fiber (16mm on Solid Backing),0.05,3,9,6.874286,0.487
Roadside-V1,3Bed,0.445,6.57,0.961137,Ceiling,"Metal Deck (Perforated Channels, 75mm Batts)",0.73,3,9,8.298308,0.352
HD-Urban-V1,3Bed,0.335,1.143,1.169983,Window,Frosted Glass + Wood Paneling,0.127,3,0,3.76099,0.369
GreenEdge-V3,3Bed,0.166,0.144,0.834284,Window,Glass Block + Plaster on Masonry,0.016,3,0,7.452862,0.485
Roadside-V2,3Bed,0.343,2.484,0.924772,Window,Small Pane Glass + Concrete Block (Coarse),0.276,3,9,5.830054,0.494
Roadside-V2,3Bed,0.328,0.81,1.093824,Window,Laminated Glass + Plaster on Masonry,0.09,3,9,5.877966,0.478
HD-Urban-V0,3Bed,0.407,3.231,1.183719,Window,Laminated Glass + Concrete Block (Painted),0.359,6,9,6.928103,0.309
HD-Urban-V1,3Bed,0.259,1.35,1.124005,Door,Hollow-Core Wood Door + Wood Paneling,0.15,6,9,8.593021,0.309
Ind-Zone-V0,3Bed,0.601,0.18,0.573521,Wall,Plaster on Masonry,0.02,6,9,6.395835,0.489
Roadside-V2,3Bed,0.362,4.14,0.802993,Wall,Concrete Block (Painted),0.46,6,9,6.06579,0.488
Roadside-V2,3Bed,0.343,0.63,1.381141,Floor,Wood Parquet,0.07,6,9,6.60881,0.482
Ind-Zone-V0,3Bed,0.537,0.09,0.821036,Floor,Marble,0.01,6,9,6.917111,0.499
Roadside-V2,3Bed,0.354,4.5,0.871608,Floor,Thick Pile Carpet,0.5,6,9,7.113242,0.484
HD-Urban-V0,3Bed,0.35,4.5,1.081215,Ceiling,0.8mm Unperforated Metal Panels Backed with 25mm Thick Resin Bonded Fibreglass,0.5,6,9,7.232814,0.484
HD-Urban-V0,1Bed,0.423,1.8,0.739569,Ceiling,Plywood 12mm Thick Perforated 5mm Diameter Holes with 60mm Deep Air Space Behind,0.2,3,9,6.401215,0.487
MD-Urban-V2,1Bed,0.336,2.25,1.389477,Ceiling,"100mm Woodwool Fixed Directly to Concrete, Pre-Screeded Surface Facing Backing",0.25,3,9,7.689933,0.487
Roadside-V1,1Bed,0.488,0.162,0.849159,Window,Insulated Glazing Unit + Painted Brick,0.018,3,9,8.614352,0.4
HD-Urban-V1,1Bed,0.34,3.105,1.227973,Window,Glazed Ceramic Tile + Concrete Block (Painted),0.345,3,9,8.298561,0.398
GreenEdge-V3,1Bed,0.249,0.927,0.715504,Window,Small Pane Glass + Wood Paneling,0.103,3,9,8.06306,0.47
Roadside-V2,1Bed,0.377,2.016,0.721235,Window,Glass Block + Concrete Block (Coarse),0.224,3,9,8.489072,0.443
Roadside-V2,1Bed,0.386,0.504,0.762224,Door,Laminated Glass Door + Unpainted Brick,0.056,3,0,6.225944,0.36
GreenEdge-V3,3Bed,0.14,0.45,0.973463,Wall,Gypsum Board,0.05,9,9,6.439524,0.48
HD-Urban-V1,3Bed,0.354,0.18,0.857397,Wall,Plaster on Masonry,0.02,9,9,7.440681,0.309
HD-Urban-V0,3Bed,0.362,0.18,1.008351,Wall,Plaster on Masonry,0.02,3,9,6.395835,0.481
GreenEdge-V3,1Bed,0.143,2.25,0.601679,Floor,Thin Carpet on Concrete,0.25,3,9,7.215782,0.487
Roadside-V2,1Bed,0.383,2.7,1.062403,Floor,Thin Carpet on Wood,0.3,3,9,7.220547,0.373
Ind-Zone-V0,1Bed,0.53,2.25,1.406006,Floor,Thin Carpet on Concrete,0.25,3,9,7.229151,0.308
Roadside-V2,1Bed,0.43,3.78,1.506835,Ceiling,"Mineral Wool Tiles, 180mm Airspace",0.42,3,9,7.214293,0.421
HD-Urban-V0,1Bed,0.414,3.78,0.931107,Ceiling,"Mineral Wool Tiles, 180mm Airspace",0.42,6,9,7.220252,0.421
HD-Urban-V0,1Bed,0.43,3.6,1.023311,Ceiling,"Plywood, 12mm, with 30mm Thick Fibreglass Backing Between 30mm Battens",0.4,6,9,7.220159,0.49
Ind-Zone-V0,1Bed,0.55,0.306,0.954608,Window,Glass Block + Gypsum Board,0.034,6,9,7.202452,0.986
HD-Urban-V1,1Bed,0.339,4.428,1.517719,Window,Insulated Glazing Unit + Fiberglass Board,0.492,6,9,7.224358,0.999
HD-Urban-V1,1Bed,0.344,0.864,0.870662,Window,Glazed Ceramic Tile + Wood Paneling,0.096,6,9,7.228082,0.904
HD-Urban-V0,1Bed,0.366,0.378,0.604371,Window,Insulated Glazing Unit + Gypsum Board,0.042,6,9,7.214962,0.963
GreenEdge-V3,1Bed,0.213,0.117,1.215346,Door,Double Pane Glass Door + Painted Brick,0.013,6,9,7.233974,0.805
MD-Urban-V2,3Bed,0.289,4.14,0.811537,Wall,Concrete Block (Painted),0.46,3,9,6.176084,0.37
GreenEdge-V3,3Bed,0.217,0.27,0.867405,Wall,Unpainted Brick,0.03,3,9,3.893931,0.873
Roadside-V2,3Bed,0.434,0.27,0.730895,Wall,Unpainted Brick,0.03,3,9,7.752751,0.869
HD-Urban-V0,1Bed,0.393,0.27,0.708004,Floor,Vinyl Tile,0.03,6,9,8.829581,0.917
Ind-Zone-V0,1Bed,0.509,4.5,0.737838,Floor,Medium Pile Carpet,0.5,6,9,8.931393,0.486
HD-Urban-V0,2Bed,0.456,2.7,1.380878,Floor,Thin Carpet on Wood,0.3,3,9,8.431321,0.5
MD-Urban-V2,2Bed,0.396,3.6,0.647735,Ceiling,Plywood 12mm Thick Perforated 5mm Diameter Holes with 60mm Thick Fibreglass Between Mounting Battens,0.4,3,9,8.660894,0.392
Roadside-V1,2Bed,0.462,0.72,1.324776,Ceiling,Sprayed Cellulose Fiber (25mm on Solid Backing),0.08,3,9,8.741662,0.487
HD-Urban-V1,2Bed,0.321,0.9,0.734442,Ceiling,Sprayed Cellulose Fiber (32mm on Solid Backing),0.1,3,9,8.328289,0.391
GreenEdge-V3,2Bed,0.271,1.071,0.82055,Window,Small Pane Glass + Wood Paneling,0.119,3,9,8.521778,0.371
Roadside-V2,2Bed,0.356,0.999,0.950469,Window,Wired Glass + Wood Paneling,0.111,3,9,8.58699,0.487
Roadside-V2,2Bed,0.428,0.36,1.147786,Window,Glazed Ceramic Tile + Gypsum Board,0.04,3,9,8.239964,0.492
HD-Urban-V0,2Bed,0.423,2.781,0.808984,Window,Glass Block + Acoustic Plaster,0.309,3,9,8.405184,0.502
HD-Urban-V1,2Bed,0.382,0.864,1.123518,Window,Glazed Ceramic Tile + Wood Paneling,0.096,3,9,8.458615,0.478
HD-Urban-V1,2Bed,0.326,5.004,1.497633,Door,Double Pane Glass Door + Fiberglass Board,0.556,3,9,8.097395,0.5
GreenEdge-V3,3Bed,0.218,4.14,1.433944,Wall,Concrete Block (Painted),0.46,9,9,4.721044,0.366
Roadside-V1,3Bed,0.417,0.36,0.943974,Wall,Plaster with Wallpaper Backing,0.04,9,9,6.65976,0.481
Ind-Zone-V0,2Bed,0.652,0.27,2.403237,Floor,Vinyl Tile,0.03,3,9,8.045809,0.466
Roadside-V2,2Bed,0.387,4.5,0.921768,Floor,Medium Pile Carpet,0.5,6,9,7.958336,0.424
HD-Urban-V0,2Bed,0.351,4.5,1.183773,Floor,Thick Pile Carpet,0.5,6,9,7.917583,0.408
HD-Urban-V0,2Bed,0.408,2.25,1.192629,Ceiling,"Plasterboard 10mm Thick, Perforated 8mm Diameter Holes with 25mm Bitumen-Bonded Fibreglass",0.25,6,9,8.281778,0.492
Ind-Zone-V0,2Bed,0.602,3.6,1.224174,Ceiling,"Plywood, 5mm, on Battens with 50mm Airspace Filled with Glass Wool",0.4,6,9,8.326507,0.48
HD-Urban-V1,2Bed,0.31,0.54,1.344641,Ceiling,"Mineral Wool Tiles, Glued/Screwed to Soffit",0.06,6,9,8.442847,0.489
HD-Urban-V1,2Bed,0.397,3.096,0.993926,Window,Single Pane Glass + Acoustic Plaster,0.344,6,9,7.94493,0.496
HD-Urban-V0,2Bed,0.321,4.455,0.87457,Window,Large Pane Glass + Fiberglass Board,0.495,6,9,7.874617,0.307
GreenEdge-V3,2Bed,0.275,0.918,0.811042,Window,Laminated Glass + Plaster with Wallpaper Backing,0.102,6,9,7.840433,0.993
Roadside-V1,2Bed,0.415,0.252,1.078341,Window,Glazed Ceramic Tile + Plaster with Wallpaper Backing,0.028,6,9,7.985832,0.963
GreenEdge-V3,2Bed,0.19,0.351,0.845701,Door,Laminated Glass Door + Painted Brick,0.039,6,9,7.949926,0.998
GreenEdge-V3,2Bed,0.165,1.35,0.7873,Wall,Wood Paneling,0.15,3,9,7.556413,0.963
Roadside-V2,2Bed,0.33,1.35,1.087617,Wall,Wood Paneling,0.15,3,9,7.476471,0.963
HD-Urban-V0,2Bed,0.37,0.36,0.841217,Wall,Plaster with Wallpaper Backing,0.04,6,9,10.456916,0.496
HD-Urban-V1,3Bed,0.425,0.09,1.169983,Floor,Marble,0.01,3,9,7.891429,0.994
GreenEdge-V3,3Bed,0.196,0.09,0.834284,Floor,Terrazzo,0.01,3,9,8.570974,0.975
Roadside-V2,3Bed,0.377,4.5,0.924772,Floor,Medium Pile Carpet,0.5,3,9,8.854932,0.816
Roadside-V2,3Bed,0.359,2.16,1.093824,Ceiling,Wood Tongue-and-Groove Roof Decking,0.24,3,9,8.960112,0.993
HD-Urban-V0,3Bed,0.47,4.59,1.183719,Ceiling,Underlay in Perforated Metal Panels (25mm Batts),0.51,6,9,8.115855,0.993
HD-Urban-V1,3Bed,0.284,4.05,1.124005,Ceiling,"Gypsum Plaster Tiles, 17% Perforated, 22mm",0.45,6,9,8.061338,0.899
HD-Urban-V1,3Bed,0.295,3.096,1.71177,Window,Single Pane Glass + Acoustic Plaster,0.344,6,9,8.314923,0.992
GreenEdge-V3,3Bed,0.203,4.428,1.338954,Window,Small Pane Glass + Fiberglass Board,0.492,6,9,8.362171,0.984
Roadside-V2,3Bed,0.375,0.864,1.381141,Window,Laminated Glass + Unpainted Brick,0.096,6,9,7.597803,0.868
Ind-Zone-V0,3Bed,0.578,3.159,0.821036,Window,Double Pane Glass + Concrete Block (Painted),0.351,6,9,4.215677,0.975
Roadside-V2,3Bed,0.405,0.675,0.871608,Door,Acoustic Door + Painted Brick,0.075,6,9,7.484721,0.895
HD-Urban-V0,2Bed,0.406,4.14,0.877978,Wall,Concrete Block (Painted),0.46,6,9,8.59573,0.466
HD-Urban-V0,2Bed,0.342,0.18,1.28243,Wall,Plaster on Masonry,0.02,9,9,10.541201,0.494
Ind-Zone-V0,2Bed,0.525,0.09,1.269863,Wall,Painted Brick,0.01,9,9,11.700355,0.492
MD-Urban-V2,2Bed,0.258,0.09,0.760502,Wall,Painted Brick,0.01,12,9,9.487201,0.498
Ind-Zone-V0,2Bed,0.48,0.27,0.774131,Wall,Unpainted Brick,0.03,12,9,9.402481,0.465
HD-Urban-V0,2Bed,0.366,5.85,1.097751,Wall,Fiberglass Board,0.65,3,9,8.246307,0.998
HD-Urban-V0,1Bed,0.419,2.781,0.436224,Window,Glass Block + Acoustic Plaster,0.309,3,9,7.214962,0.473
MD-Urban-V2,1Bed,0.353,0.18,0.489978,Window,Wired Glass + Painted Brick,0.02,3,9,7.233974,0.339
Roadside-V1,1Bed,0.522,0.306,0.417381,Window,Glazed Ceramic Tile + Gypsum Board,0.034,3,9,7.236344,0.308
HD-Urban-V1,1Bed,0.377,2.331,0.405301,Window,Single Pane Glass + Concrete Block (Coarse),0.259,3,9,7.204073,0.496
GreenEdge-V3,1Bed,0.265,0.522,0.446093,Door,Plywood Door + Gypsum Board,0.058,3,9,8.552987,0.487
HD-Urban-V0,2Bed,0.366,4.14,0.877978,Wall,Concrete Block (Painted),0.46,3,9,8.933843,0.823
HD-Urban-V1,2Bed,0.348,4.14,0.700295,Wall,Concrete Block (Painted),0.46,3,9,9.25702,0.823
