zone_string,apartment_type_string,floor_height_m,laeq_db,period,total_surface_sqm,element_materials_string,absorption_coefficient_by_area_m,rt60_s,n._of_sound_sources_int,average_sound_source_distance_m,spl_db,barrier_distance_m,barrier_height_m,spl_after_barrier_db,spl_after_façade_dampening_db,comfort_index_float,wall_material,window_material,door_material,floor_material,ceiling_material,element_materials_string_raw,Window_Material,Wall_Material,Door_Material,Floor_Material,Ceiling_Material
HD-Urban-V0,1Bed,9,53.97,day,99,"Window: Small Pane Glass and Fiberglass Board; Window: Frosted Glass and Wood Paneling; Window: Large Pane Glass and Plaster with Wallpaper Backing; Window: Glass Block and Acoustic Plaster; Door: Sliding Wood Door and Gypsum Board; Wall: Concrete Block (Coarse); Wall: Wood Paneling; Floor: Thin Carpet on Concrete; Floor: Wood Parquet; Ceiling: Sprayed Cellulose Fiber (25mm on Timber Lath); Ceiling: Hardboard, 25% Perforated Over 50mm Mineral Wool",0.651991,0.829943,4,16.408204,27.183664,0.8,0,27.183664,20.679409,0.491,Concrete Block (Coarse),Small Pane Glass and Fiberglass Board,Sliding Wood Door and Gypsum Board,Thin Carpet on Concrete,Sprayed Cellulose Fiber (25mm on Timber Lath),"Window: Small Pane Glass and Fiberglass Board; Window: Frosted Glass and Wood Paneling; Window: Large Pane Glass and Plaster with Wallpaper Backing; Window: Glass Block and Acoustic Plaster; Door: Sliding Wood Door and Gypsum Board; Wall: Concrete Block (Coarse); Wall: Wood Paneling; Floor: Thin Carpet on Concrete; Floor: Wood Parquet; Ceiling: Sprayed Cellulose Fiber (25mm on Timber Lath); Ceiling: Hardboard, 25% Perforated Over 50mm Mineral Wool",Small Pane Glass and Fiberglass Board,Concrete Block (Coarse),Sliding Wood Door and Gypsum Board,Thin Carpet on Concrete,Sprayed Cellulose Fiber (25mm on Timber Lath)
Roadside-V1,1Bed,12,53.49,day,99,"Window: Insulated Glazing Unit and Unpainted Brick; Window: Double Pane Glass and Acoustic Plaster; Window: Frosted Glass and Painted Brick; Window: Insulated Glazing Unit and Concrete Block (Coarse); Door: Plywood Door and Unpainted Brick; Wall: Painted Brick; Wall: Acoustic Plaster; Floor: Cork Floor Tiles; Floor: Cork Floor Tiles; Ceiling: Plywood 12mm Thick Perforated 5mm Diameter Holes with 60mm Deep Air Space Behind; Ceiling: Mineral Wool Tiles, Glued/Screwed to Soffit",0.344564,1.196928,4,23.282494,24.098955,0.8,0,24.098955,17.998998,0.374,Painted Brick,Insulated Glazing Unit and Unpainted Brick,Plywood Door and Unpainted Brick,Cork Floor Tiles,Plywood 12mm Thick Perforated 5mm Diameter Holes with 60mm Deep Air Space Behind,"Window: Insulated Glazing Unit and Unpainted Brick; Window: Double Pane Glass and Acoustic Plaster; Window: Frosted Glass and Painted Brick; Window: Insulated Glazing Unit and Concrete Block (Coarse); Door: Plywood Door and Unpainted Brick; Wall: Painted Brick; Wall: Acoustic Plaster; Floor: Cork Floor Tiles; Floor: Cork Floor Tiles; Ceiling: Plywood 12mm Thick Perforated 5mm Diameter Holes with 60mm Deep Air Space Behind; Ceiling: Mineral Wool Tiles, Glued/Screwed to Soffit",Insulated Glazing Unit and Unpainted Brick,Painted Brick,Plywood Door and Unpainted Brick,Cork Floor Tiles,Plywood 12mm Thick Perforated 5mm Diameter Holes with 60mm Deep Air Space Behind
GreenEdge-V3,1Bed,12,24.17,night,99,"Window: Frosted Glass and Wood Paneling; Window: Small Pane Glass and Unpainted Brick; Window: Frosted Glass and Unpainted Brick; Window: Wired Glass and Painted Brick; Door: Acoustic Door and Fiberglass Board; Wall: Concrete Block (Coarse); Wall: Acoustic Plaster; Floor: Terrazzo; Floor: Wood Parquet; Ceiling: Plasterboard 10mm Thick Backed with 25mm Thick Bitumen; Ceiling: Plasterboard 10mm Thick, Perforated 8mm Diameter Holes with 25mm Bitumen-Bonded Fibreglass",0.537519,0.936906,4,18.473314,26.119515,0.8,0,26.119515,9.840698,0.776,Concrete Block (Coarse),Frosted Glass and Wood Paneling,Acoustic Door and Fiberglass Board,Terrazzo,Plasterboard 10mm Thick Backed with 25mm Thick Bitumen,"Window: Frosted Glass and Wood Paneling; Window: Small Pane Glass and Unpainted Brick; Window: Frosted Glass and Unpainted Brick; Window: Wired Glass and Painted Brick; Door: Acoustic Door and Fiberglass Board; Wall: Concrete Block (Coarse); Wall: Acoustic Plaster; Floor: Terrazzo; Floor: Wood Parquet; Ceiling: Plasterboard 10mm Thick Backed with 25mm Thick Bitumen; Ceiling: Plasterboard 10mm Thick, Perforated 8mm Diameter Holes with 25mm Bitumen-Bonded Fibreglass",Frosted Glass and Wood Paneling,Concrete Block (Coarse),Acoustic Door and Fiberglass Board,Terrazzo,Plasterboard 10mm Thick Backed with 25mm Thick Bitumen
HD-Urban-V0,1Bed,12,58.93,day,99,"Window: Double Pane Glass and Gypsum Board; Window: Small Pane Glass and Wood Paneling; Window: Large Pane Glass and Gypsum Board; Window: Large Pane Glass and Gypsum Board; Door: Hollow-Core Wood Door and Painted Brick; Wall: Plaster on Masonry; Wall: Gypsum Board; Floor: Vinyl Tile; Floor: Thin Carpet on Wood; Ceiling: Plaster (Gypsum or Lime, Rough Finish or Timber Lath); Ceiling: Mineral Wool Tiles, Glued/Screwed to Soffit",0.0,2.372949,4,19.150188,26.14772,0.8,0,26.14772,16.624086,0.281,Plaster on Masonry,Double Pane Glass and Gypsum Board,Hollow-Core Wood Door and Painted Brick,Vinyl Tile,"Plaster (Gypsum or Lime, Rough Finish or Timber Lath)","Window: Double Pane Glass and Gypsum Board; Window: Small Pane Glass and Wood Paneling; Window: Large Pane Glass and Gypsum Board; Window: Large Pane Glass and Gypsum Board; Door: Hollow-Core Wood Door and Painted Brick; Wall: Plaster on Masonry; Wall: Gypsum Board; Floor: Vinyl Tile; Floor: Thin Carpet on Wood; Ceiling: Plaster (Gypsum or Lime, Rough Finish or Timber Lath); Ceiling: Mineral Wool Tiles, Glued/Screwed to Soffit",Double Pane Glass and Gypsum Board,Plaster on Masonry,Hollow-Core Wood Door and Painted Brick,Vinyl Tile,"Plaster (Gypsum or Lime, Rough Finish or Timber Lath)"
Roadside-V1,1Bed,12,36.53,night,99,"Window: Wired Glass and Concrete Block (Coarse); Window: Glazed Ceramic Tile and Painted Brick; Window: Single Pane Glass and Plaster on Masonry; Window: Glass Block and Plaster on Masonry; Door: Acoustic Door and Plaster on Masonry; Wall: Concrete Block (Painted); Wall: Acoustic Plaster; Floor: Wood Parquet; Floor: Cork Floor Tiles; Ceiling: Plywood 12mm Thick Perforated 5mm Diameter Holes with 60mm Thick Fibreglass Between Mounting Battens; Ceiling: Plaster Decorative Panels, Ceilings",0.49196,0.987561,4,27.722643,22.357536,0.8,0,22.357536,6.670238,0.626,Concrete Block (Painted),Wired Glass and Concrete Block (Coarse),Acoustic Door and Plaster on Masonry,Wood Parquet,Plywood 12mm Thick Perforated 5mm Diameter Holes with 60mm Thick Fibreglass Between Mounting Battens,"Window: Wired Glass and Concrete Block (Coarse); Window: Glazed Ceramic Tile and Painted Brick; Window: Single Pane Glass and Plaster on Masonry; Window: Glass Block and Plaster on Masonry; Door: Acoustic Door and Plaster on Masonry; Wall: Concrete Block (Painted); Wall: Acoustic Plaster; Floor: Wood Parquet; Floor: Cork Floor Tiles; Ceiling: Plywood 12mm Thick Perforated 5mm Diameter Holes with 60mm Thick Fibreglass Between Mounting Battens; Ceiling: Plaster Decorative Panels, Ceilings",Wired Glass and Concrete Block (Coarse),Concrete Block (Painted),Acoustic Door and Plaster on Masonry,Wood Parquet,Plywood 12mm Thick Perforated 5mm Diameter Holes with 60mm Thick Fibreglass Between Mounting Battens
GreenEdge-V3,1Bed,15,21.45,night,99,"Window: Laminated Glass and Wood Paneling; Window: Laminated Glass and Wood Paneling; Window: Single Pane Glass and Painted Brick; Window: Double Pane Glass and Plaster with Wallpaper Backing; Door: Single Pane Glass Door and Gypsum Board; Wall: Wood Paneling; Wall: Wood Paneling; Floor: Marble; Floor: Marble; Ceiling: Metal Deck (Perforated Channels, 75mm Batts); Ceiling: Metal Deck (Perforated Channels, 75mm Batts)",0.51876,0.957121,4,21.37731,25.09576,0.8,0,25.09576,13.222926,0.799,Wood Paneling,Laminated Glass and Wood Paneling,Single Pane Glass Door and Gypsum Board,Marble,"Metal Deck (Perforated Channels, 75mm Batts)","Window: Laminated Glass and Wood Paneling; Window: Laminated Glass and Wood Paneling; Window: Single Pane Glass and Painted Brick; Window: Double Pane Glass and Plaster with Wallpaper Backing; Door: Single Pane Glass Door and Gypsum Board; Wall: Wood Paneling; Wall: Wood Paneling; Floor: Marble; Floor: Marble; Ceiling: Metal Deck (Perforated Channels, 75mm Batts); Ceiling: Metal Deck (Perforated Channels, 75mm Batts)",Laminated Glass and Wood Paneling,Wood Paneling,Single Pane Glass Door and Gypsum Board,Marble,"Metal Deck (Perforated Channels, 75mm Batts)"
HD-Urban-V0,1Bed,15,22.07,night,99,Window: Insulated Glazing Unit and Plaster with Wallpaper Backing; Window: Frosted Glass and Painted Brick; Window: Double Pane Glass and Fiberglass Board; Window: Laminated Glass and Plaster on Masonry; Door: Plywood Door and Gypsum Board; Wall: Fiberglass Board; Wall: Plaster on Masonry; Floor: Vinyl Tile; Floor: Wood Flooring on Joists; Ceiling: 0.8mm Perforated Metal Tiles with 25mm Thick Resin-Bonded Fibreglass Slab; Ceiling: Sprayed Cellulose Fiber (25mm on Solid Backing),0.300153,1.2786,4,29.301047,21.887641,0.8,0,21.887641,14.819963,0.685,Fiberglass Board,Insulated Glazing Unit and Plaster with Wallpaper Backing,Plywood Door and Gypsum Board,Vinyl Tile,0.8mm Perforated Metal Tiles with 25mm Thick Resin-Bonded Fibreglass Slab,Window: Insulated Glazing Unit and Plaster with Wallpaper Backing; Window: Frosted Glass and Painted Brick; Window: Double Pane Glass and Fiberglass Board; Window: Laminated Glass and Plaster on Masonry; Door: Plywood Door and Gypsum Board; Wall: Fiberglass Board; Wall: Plaster on Masonry; Floor: Vinyl Tile; Floor: Wood Flooring on Joists; Ceiling: 0.8mm Perforated Metal Tiles with 25mm Thick Resin-Bonded Fibreglass Slab; Ceiling: Sprayed Cellulose Fiber (25mm on Solid Backing),Insulated Glazing Unit and Plaster with Wallpaper Backing,Fiberglass Board,Plywood Door and Gypsum Board,Vinyl Tile,0.8mm Perforated Metal Tiles with 25mm Thick Resin-Bonded Fibreglass Slab
Roadside-V1,1Bed,15,53.65,day,99,Window: Double Pane Glass and Painted Brick; Window: Double Pane Glass and Plaster with Wallpaper Backing; Window: Laminated Glass and Concrete Block (Coarse); Window: Laminated Glass and Fiberglass Board; Door: Fire-Rated Door with Mineral Core and Plaster on Masonry; Wall: Plaster on Masonry; Wall: Concrete Block (Painted); Floor: Thin Carpet on Wood; Floor: Marble; Ceiling: Plywood 12mm Thick Perforated 5mm Diameter Holes with 60mm Deep Air Space Behind; Ceiling: Underlay in Perforated Metal Panels (25mm Batts),0.636294,0.843142,4,20.767297,25.075617,0.8,0,25.075617,20.580579,0.49,Plaster on Masonry,Double Pane Glass and Painted Brick,Fire-Rated Door with Mineral Core and Plaster on Masonry,Thin Carpet on Wood,Plywood 12mm Thick Perforated 5mm Diameter Holes with 60mm Deep Air Space Behind,Window: Double Pane Glass and Painted Brick; Window: Double Pane Glass and Plaster with Wallpaper Backing; Window: Laminated Glass and Concrete Block (Coarse); Window: Laminated Glass and Fiberglass Board; Door: Fire-Rated Door with Mineral Core and Plaster on Masonry; Wall: Plaster on Masonry; Wall: Concrete Block (Painted); Floor: Thin Carpet on Wood; Floor: Marble; Ceiling: Plywood 12mm Thick Perforated 5mm Diameter Holes with 60mm Deep Air Space Behind; Ceiling: Underlay in Perforated Metal Panels (25mm Batts),Double Pane Glass and Painted Brick,Plaster on Masonry,Fire-Rated Door with Mineral Core and Plaster on Masonry,Thin Carpet on Wood,Plywood 12mm Thick Perforated 5mm Diameter Holes with 60mm Deep Air Space Behind
GreenEdge-V3,2Bed,3,49.46,day,126,"Window: Small Pane Glass and Concrete Block (Coarse); Window: Small Pane Glass and Wood Paneling; Window: Double Pane Glass and Painted Brick; Window: Single Pane Glass and Gypsum Board; Window: Wired Glass and Concrete Block (Painted); Door: Single Pane Glass Door and Concrete Block (Coarse); Wall: Wood Paneling; Wall: Plaster with Wallpaper Backing; Floor: Terrazzo; Floor: Medium Pile Carpet; Floor: Thick Pile Carpet; Ceiling: Metal Ceiling, 32.5% Perforated, Backed by 30mm Rockwool; Ceiling: Metal Deck (Perforated Channels, 75mm Batts); Ceiling: Plasterboard (12mm) in Suspended Ceiling Grid",0.0,0.874736,5,19.002018,16.069433,0.8,0,16.069433,4.904955,0.683,Wood Paneling,Small Pane Glass and Concrete Block (Coarse),Single Pane Glass Door and Concrete Block (Coarse),Terrazzo,"Metal Ceiling, 32.5% Perforated, Backed by 30mm Rockwool","Window: Small Pane Glass and Concrete Block (Coarse); Window: Small Pane Glass and Wood Paneling; Window: Double Pane Glass and Painted Brick; Window: Single Pane Glass and Gypsum Board; Window: Wired Glass and Concrete Block (Painted); Door: Single Pane Glass Door and Concrete Block (Coarse); Wall: Wood Paneling; Wall: Plaster with Wallpaper Backing; Floor: Terrazzo; Floor: Medium Pile Carpet; Floor: Thick Pile Carpet; Ceiling: Metal Ceiling, 32.5% Perforated, Backed by 30mm Rockwool; Ceiling: Metal Deck (Perforated Channels, 75mm Batts); Ceiling: Plasterboard (12mm) in Suspended Ceiling Grid",Small Pane Glass and Concrete Block (Coarse),Wood Paneling,Single Pane Glass Door and Concrete Block (Coarse),Terrazzo,"Metal Ceiling, 32.5% Perforated, Backed by 30mm Rockwool"
HD-Urban-V0,2Bed,15,11.58,night,126,"Window: Insulated Glazing Unit and Gypsum Board; Window: Glazed Ceramic Tile and Concrete Block (Coarse); Window: Frosted Glass and Wood Paneling; Window: Frosted Glass and Plaster on Masonry; Window: Laminated Glass and Fiberglass Board; Door: Laminated Glass Door and Plaster with Wallpaper Backing; Wall: Acoustic Plaster; Wall: Plaster with Wallpaper Backing; Floor: Marble; Floor: Thin Carpet on Wood; Floor: Medium Pile Carpet; Ceiling: 50mm Woodwool Slabs on 25mm Cavity, Pre-Screeded Surface Facing Cavity; Ceiling: Gypsum Plaster Tiles, 17% Perforated, 22mm; Ceiling: 12% Perforated Plaster Tiles with Absorbent Felt, 200mm Ceiling Void",1.0,0.823062,5,24.759359,16.813486,0.8,0,16.813486,4.751714,1.0,Acoustic Plaster,Insulated Glazing Unit and Gypsum Board,Laminated Glass Door and Plaster with Wallpaper Backing,Marble,"50mm Woodwool Slabs on 25mm Cavity, Pre-Screeded Surface Facing Cavity","Window: Insulated Glazing Unit and Gypsum Board; Window: Glazed Ceramic Tile and Concrete Block (Coarse); Window: Frosted Glass and Wood Paneling; Window: Frosted Glass and Plaster on Masonry; Window: Laminated Glass and Fiberglass Board; Door: Laminated Glass Door and Plaster with Wallpaper Backing; Wall: Acoustic Plaster; Wall: Plaster with Wallpaper Backing; Floor: Marble; Floor: Thin Carpet on Wood; Floor: Medium Pile Carpet; Ceiling: 50mm Woodwool Slabs on 25mm Cavity, Pre-Screeded Surface Facing Cavity; Ceiling: Gypsum Plaster Tiles, 17% Perforated, 22mm; Ceiling: 12% Perforated Plaster Tiles with Absorbent Felt, 200mm Ceiling Void",Insulated Glazing Unit and Gypsum Board,Acoustic Plaster,Laminated Glass Door and Plaster with Wallpaper Backing,Marble,"50mm Woodwool Slabs on 25mm Cavity, Pre-Screeded Surface Facing Cavity"
Roadside-V1,3Bed,9,47.44,night,162,"Window: Glass Block and Fiberglass Board; Window: Wired Glass and Concrete Block (Coarse); Window: Wired Glass and Painted Brick; Window: Frosted Glass and Gypsum Board; Window: Small Pane Glass and Painted Brick; :  and Painted Brick; :  and ; :  and ; Door: Hollow-Core Wood Door and Unpainted Brick; Wall: Fiberglass Board; Floor: Wood Parquet; Floor: Thick Pile Carpet; Floor: Vinyl Tile; Floor: Thin Carpet on Wood; Ceiling: 0.8mm Unperforated Metal Panels Backed with 25mm Thick Resin Bonded Fibreglass; Ceiling: Gypsum Plaster Tiles, 17% Perforated, 22mm; Ceiling: Metal Deck (Perforated Channels, 75mm Batts); Ceiling: Sprayed Cellulose Fiber (25mm on Solid Backing)",0.0,0.923739,8,22.847211,22.873486,0.8,0,22.873486,10.811714,0.704,Fiberglass Board,Glass Block and Fiberglass Board,Hollow-Core Wood Door and Unpainted Brick,Wood Parquet,0.8mm Unperforated Metal Panels Backed with 25mm Thick Resin Bonded Fibreglass,"Window: Glass Block and Fiberglass Board; Window: Wired Glass and Concrete Block (Coarse); Window: Wired Glass and Painted Brick; Window: Frosted Glass and Gypsum Board; Window: Small Pane Glass and Painted Brick; :  and Painted Brick; :  and ; :  and ; Door: Hollow-Core Wood Door and Unpainted Brick; Wall: Fiberglass Board; Floor: Wood Parquet; Floor: Thick Pile Carpet; Floor: Vinyl Tile; Floor: Thin Carpet on Wood; Ceiling: 0.8mm Unperforated Metal Panels Backed with 25mm Thick Resin Bonded Fibreglass; Ceiling: Gypsum Plaster Tiles, 17% Perforated, 22mm; Ceiling: Metal Deck (Perforated Channels, 75mm Batts); Ceiling: Sprayed Cellulose Fiber (25mm on Solid Backing)",Glass Block and Fiberglass Board,Fiberglass Board,Hollow-Core Wood Door and Unpainted Brick,Wood Parquet,0.8mm Unperforated Metal Panels Backed with 25mm Thick Resin Bonded Fibreglass
HD-Urban-V0,1Bed,3,35.63,day,99,"Window: Single Pane Glass and Fiberglass Board; Window: Double Pane Glass and Concrete Block (Coarse); Door: Hollow-Core Wood Door and Wood Paneling; Wall: Concrete Block (Painted); Wall: Fiberglass Board; Wall: Unpainted Brick; Wall: Acoustic Plaster; Floor: Marble; Floor: Terrazzo; Ceiling: Wood Tongue-and-Groove Roof Decking; Ceiling: Metal Deck (Perforated Channels, 75mm Batts)",1.0,0.268097,2,7.087764,34.304667,0.8,0,34.304667,26.846983,0.788,Concrete Block (Painted),Single Pane Glass and Fiberglass Board,Hollow-Core Wood Door and Wood Paneling,Marble,Wood Tongue-and-Groove Roof Decking,"Window: Single Pane Glass and Fiberglass Board; Window: Double Pane Glass and Concrete Block (Coarse); Door: Hollow-Core Wood Door and Wood Paneling; Wall: Concrete Block (Painted); Wall: Fiberglass Board; Wall: Unpainted Brick; Wall: Acoustic Plaster; Floor: Marble; Floor: Terrazzo; Ceiling: Wood Tongue-and-Groove Roof Decking; Ceiling: Metal Deck (Perforated Channels, 75mm Batts)",Single Pane Glass and Fiberglass Board,Concrete Block (Painted),Hollow-Core Wood Door and Wood Paneling,Marble,Wood Tongue-and-Groove Roof Decking
Roadside-V1,1Bed,3,38.67,night,99,"Window: Wired Glass and Plaster with Wallpaper Backing; Window: Frosted Glass and Plaster with Wallpaper Backing; Window: Double Pane Glass and Plaster with Wallpaper Backing; Window: Laminated Glass and Plaster on Masonry; Door: Single Pane Glass Door and Painted Brick; Wall: Gypsum Board; Wall: Fiberglass Board; Floor: Thick Pile Carpet; Floor: Cork Floor Tiles; Ceiling: Metal Deck (Perforated Channels, 25mm Batts); Ceiling: 100mm Woodwool Slabs on 25mm Cavity, Pre-Screeded Surface Facing Cavity",0.467638,0.422299,4,8.322505,34.170783,0.8,0,34.170783,21.921823,0.792,Gypsum Board,Wired Glass and Plaster with Wallpaper Backing,Single Pane Glass Door and Painted Brick,Thick Pile Carpet,"Metal Deck (Perforated Channels, 25mm Batts)","Window: Wired Glass and Plaster with Wallpaper Backing; Window: Frosted Glass and Plaster with Wallpaper Backing; Window: Double Pane Glass and Plaster with Wallpaper Backing; Window: Laminated Glass and Plaster on Masonry; Door: Single Pane Glass Door and Painted Brick; Wall: Gypsum Board; Wall: Fiberglass Board; Floor: Thick Pile Carpet; Floor: Cork Floor Tiles; Ceiling: Metal Deck (Perforated Channels, 25mm Batts); Ceiling: 100mm Woodwool Slabs on 25mm Cavity, Pre-Screeded Surface Facing Cavity",Wired Glass and Plaster with Wallpaper Backing,Gypsum Board,Single Pane Glass Door and Painted Brick,Thick Pile Carpet,"Metal Deck (Perforated Channels, 25mm Batts)"
GreenEdge-V3,1Bed,3,44.73,day,99,"Window: Wired Glass and Concrete Block (Coarse); Window: Wired Glass and Gypsum Board; Window: Wired Glass and Painted Brick; Window: Double Pane Glass and Plaster with Wallpaper Backing; Door: Plywood Door and Concrete Block (Coarse); Wall: Concrete Block (Painted); Wall: Unpainted Brick; Floor: Cork Floor Tiles; Floor: Thin Carpet on Concrete; Ceiling: 75mm Woodwool Fixed Directly to Concrete, Pre-Screeded Surface Facing Backing; Ceiling: Gypsum Plaster Tiles, 17% Perforated, 22mm",0.442961,0.433866,4,8.322505,34.170783,0.8,0,34.170783,21.864116,0.722,Concrete Block (Painted),Wired Glass and Concrete Block (Coarse),Plywood Door and Concrete Block (Coarse),Cork Floor Tiles,"75mm Woodwool Fixed Directly to Concrete, Pre-Screeded Surface Facing Backing","Window: Wired Glass and Concrete Block (Coarse); Window: Wired Glass and Gypsum Board; Window: Wired Glass and Painted Brick; Window: Double Pane Glass and Plaster with Wallpaper Backing; Door: Plywood Door and Concrete Block (Coarse); Wall: Concrete Block (Painted); Wall: Unpainted Brick; Floor: Cork Floor Tiles; Floor: Thin Carpet on Concrete; Ceiling: 75mm Woodwool Fixed Directly to Concrete, Pre-Screeded Surface Facing Backing; Ceiling: Gypsum Plaster Tiles, 17% Perforated, 22mm",Wired Glass and Concrete Block (Coarse),Concrete Block (Painted),Plywood Door and Concrete Block (Coarse),Cork Floor Tiles,"75mm Woodwool Fixed Directly to Concrete, Pre-Screeded Surface Facing Backing"
HD-Urban-V0,1Bed,3,49.76,day,99,"Window: Small Pane Glass and Wood Paneling; Window: Frosted Glass and Plaster with Wallpaper Backing; Door: Double Pane Glass Door and Concrete Block (Coarse); Wall: Wood Paneling; Wall: Wood Paneling; Wall: Acoustic Plaster; Wall: Painted Brick; Floor: Thick Pile Carpet; Floor: Cork Floor Tiles; Ceiling: Mineral Wool Tiles, 180mm Airspace; Ceiling: Metal Deck (Perforated Channels, 25mm Batts)",0.571197,0.379804,2,7.087764,34.304667,0.8,0,34.304667,20.038613,0.673,Wood Paneling,Small Pane Glass and Wood Paneling,Double Pane Glass Door and Concrete Block (Coarse),Thick Pile Carpet,"Mineral Wool Tiles, 180mm Airspace","Window: Small Pane Glass and Wood Paneling; Window: Frosted Glass and Plaster with Wallpaper Backing; Door: Double Pane Glass Door and Concrete Block (Coarse); Wall: Wood Paneling; Wall: Wood Paneling; Wall: Acoustic Plaster; Wall: Painted Brick; Floor: Thick Pile Carpet; Floor: Cork Floor Tiles; Ceiling: Mineral Wool Tiles, 180mm Airspace; Ceiling: Metal Deck (Perforated Channels, 25mm Batts)",Small Pane Glass and Wood Paneling,Wood Paneling,Double Pane Glass Door and Concrete Block (Coarse),Thick Pile Carpet,"Mineral Wool Tiles, 180mm Airspace"
Roadside-V1,1Bed,3,50.15,day,99,Window: Single Pane Glass and Unpainted Brick; Door: Hollow-Core Wood Door and Wood Paneling; Wall: Plaster on Masonry; Wall: Acoustic Plaster; Wall: Painted Brick; Wall: Painted Brick; Wall: Gypsum Board; Floor: Medium Pile Carpet; Floor: Thin Carpet on Wood; Ceiling: Sprayed Cellulose Fiber (32mm on Solid Backing); Ceiling: Sprayed Cellulose Fiber (25mm on Solid Backing),0.257282,0.546505,1,16.790289,26.813688,0.8,0,26.813688,14.219537,0.626,Plaster on Masonry,Single Pane Glass and Unpainted Brick,Hollow-Core Wood Door and Wood Paneling,Medium Pile Carpet,Sprayed Cellulose Fiber (32mm on Solid Backing),Window: Single Pane Glass and Unpainted Brick; Door: Hollow-Core Wood Door and Wood Paneling; Wall: Plaster on Masonry; Wall: Acoustic Plaster; Wall: Painted Brick; Wall: Painted Brick; Wall: Gypsum Board; Floor: Medium Pile Carpet; Floor: Thin Carpet on Wood; Ceiling: Sprayed Cellulose Fiber (32mm on Solid Backing); Ceiling: Sprayed Cellulose Fiber (25mm on Solid Backing),Single Pane Glass and Unpainted Brick,Plaster on Masonry,Hollow-Core Wood Door and Wood Paneling,Medium Pile Carpet,Sprayed Cellulose Fiber (32mm on Solid Backing)
GreenEdge-V3,1Bed,3,34.65,day,99,"Window: Frosted Glass and Fiberglass Board; Window: Single Pane Glass and Concrete Block (Coarse); Window: Double Pane Glass and Plaster on Masonry; Window: Glazed Ceramic Tile and Gypsum Board; Door: Double Pane Glass Door and Plaster with Wallpaper Backing; Wall: Plaster with Wallpaper Backing; Wall: Wood Paneling; Floor: Wood Flooring on Joists; Floor: Vinyl Tile; Ceiling: 100mm Woodwool Fixed Directly to Concrete, Pre-Screeded Surface Facing Backing; Ceiling: Plaster Decorative Panels, Ceilings",0.207929,0.587011,4,19.57829,24.978488,0.8,0,24.978488,14.686382,0.78,Plaster with Wallpaper Backing,Frosted Glass and Fiberglass Board,Double Pane Glass Door and Plaster with Wallpaper Backing,Wood Flooring on Joists,"100mm Woodwool Fixed Directly to Concrete, Pre-Screeded Surface Facing Backing","Window: Frosted Glass and Fiberglass Board; Window: Single Pane Glass and Concrete Block (Coarse); Window: Double Pane Glass and Plaster on Masonry; Window: Glazed Ceramic Tile and Gypsum Board; Door: Double Pane Glass Door and Plaster with Wallpaper Backing; Wall: Plaster with Wallpaper Backing; Wall: Wood Paneling; Floor: Wood Flooring on Joists; Floor: Vinyl Tile; Ceiling: 100mm Woodwool Fixed Directly to Concrete, Pre-Screeded Surface Facing Backing; Ceiling: Plaster Decorative Panels, Ceilings",Frosted Glass and Fiberglass Board,Plaster with Wallpaper Backing,Double Pane Glass Door and Plaster with Wallpaper Backing,Wood Flooring on Joists,"100mm Woodwool Fixed Directly to Concrete, Pre-Screeded Surface Facing Backing"
HD-Urban-V0,1Bed,3,49.03,day,99,"Window: Small Pane Glass and Concrete Block (Painted); Window: Glass Block and Concrete Block (Painted); Window: Large Pane Glass and Concrete Block (Painted); Door: Sliding Wood Door and Fiberglass Board; Wall: Acoustic Plaster; Wall: Gypsum Board; Wall: Unpainted Brick; Floor: Thin Carpet on Concrete; Floor: Vinyl Tile; Ceiling: 0.8mm Perforated Metal Tiles with 25mm Thick Resin-Bonded Fibreglass Slab; Ceiling: Metal Deck (Perforated Channels, 75mm Batts)",0.852751,0.298216,3,14.703038,27.718334,0.8,0,27.718334,21.129371,0.653,Acoustic Plaster,Small Pane Glass and Concrete Block (Painted),Sliding Wood Door and Fiberglass Board,Thin Carpet on Concrete,0.8mm Perforated Metal Tiles with 25mm Thick Resin-Bonded Fibreglass Slab,"Window: Small Pane Glass and Concrete Block (Painted); Window: Glass Block and Concrete Block (Painted); Window: Large Pane Glass and Concrete Block (Painted); Door: Sliding Wood Door and Fiberglass Board; Wall: Acoustic Plaster; Wall: Gypsum Board; Wall: Unpainted Brick; Floor: Thin Carpet on Concrete; Floor: Vinyl Tile; Ceiling: 0.8mm Perforated Metal Tiles with 25mm Thick Resin-Bonded Fibreglass Slab; Ceiling: Metal Deck (Perforated Channels, 75mm Batts)",Small Pane Glass and Concrete Block (Painted),Acoustic Plaster,Sliding Wood Door and Fiberglass Board,Thin Carpet on Concrete,0.8mm Perforated Metal Tiles with 25mm Thick Resin-Bonded Fibreglass Slab
